Bioinforma	acropora	Species	Year	Date	Areas	Location	population	Site	label_plot	GPS_point_	GPS_poin_1	source_file	geometry
BFC19-102-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-103-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-105-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-108-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-109-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-110-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-112-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-113-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-115-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-119-T	Acropora	A.tenuis	2019	10/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise seaward	Ile Anglaise seaward	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-120-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-121-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-122-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
