Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
BFC18-034-T,A. aff. tenuis,Diego Garcia,2018,31/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-036-T,A. aff. tenuis,Diego Garcia,2018,01/04/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-037-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-038-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-040-T,A. aff. tenuis,Diego Garcia,2018,29/03/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-041-T,A. aff. tenuis,Diego Garcia,2018,02/04/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-044-T,A. aff. tenuis,Diego Garcia,2018,03/04/2018,Chagos,Diego Garcia,Mid Island,-7.22617,72.40833,"c(72.40833, -7.22617)"
BFC18-048-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-049-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-051-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-053-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-054-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-058-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-059-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-063-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-064-T,A. aff. tenuis,Chagos northern atolls,2018,31/03/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-089-T,A. aff. tenuis,Chagos northern atolls,2018,01/04/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-094-T,A. aff. tenuis,Chagos northern atolls,2018,01/04/2018,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC18-100-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-104-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-107-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-108-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-111-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-112-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-117-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-118-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Diamont Seaward,-5.24633,71.7695,"c(71.7695, -5.24633)"
BFC18-127-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Lagoon Diamont,-5.25718,71.76566,"c(71.76566, -5.25718)"
BFC18-128-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Lagoon Diamont,-5.25718,71.76566,"c(71.76566, -5.25718)"
BFC18-132-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Lagoon Diamont,-5.25718,71.76566,"c(71.76566, -5.25718)"
BFC18-133-T,A. aff. tenuis,Chagos northern atolls,2018,02/04/2018,Chagos,Peros Banhos,Lagoon Diamont,-5.25718,71.76566,"c(71.76566, -5.25718)"
BFC18-144-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-145-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-152-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-153-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-159-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-167-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-171-T,A. aff. tenuis,Chagos northern atolls,2018,03/04/2018,Chagos,Peros Banhos,Moresby,-5.23735,71.83483333,"c(71.83483333, -5.23735)"
BFC18-217-T,A. aff. tenuis,Chagos northern atolls,2018,06/04/2018,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC18-219-T,A. aff. tenuis,Chagos northern atolls,2018,06/04/2018,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
